Url,Product,Release,Drop,Expected
ciportal,TOR,TOR1.0,,
ciportal,TOR,TOR1.0,1.0.10,
ciportal,TOR,TOR1.0,1.0.11,
ciportal,TOR,TOR1.0,1.0.12,
ciportal,TOR,TOR1.0,1.0.13,
ciportal,TOR,TOR1.0,1.0.15,
ciportal,TOR,TOR1.0,1.0.16,
ciportal,TOR,TOR1.0,1.0.16.1,
ciportal,TOR,TOR1.0,1.0.17,
ciportal,TOR,TOR1.0,1.0.17.1,
ciportal,TOR,TOR1.0,1.0.17.2,
ciportal,TOR,TOR1.0,1.0.17.3,
ciportal,TOR,TOR1.0,1.0.17.4,
ciportal,TOR,TOR1.0,1.0.17.5,
ciportal,TOR,TOR1.0,1.0.18,
ciportal,TOR,TOR1.0,1.0.19,
ciportal,TOR,TOR1.0,1.0.19.1,
ciportal,TOR,TOR1.0,1.0.19.2,
ciportal,TOR,TOR2.0,2.0.A,
ciportal,TOR,TOR2.0,2.0.B,
ciportal,TOR,TOR2.0,2.0.C,
ciportal,TOR,TOR2.0,2.0.D,
ciportal,TOR,TOR2.0,2.0.E,
ciportal,TOR,TOR2.0,2.0.F,
ciportal,TOR,TOR2.0,2.0.G,
ciportal,TOR,TOR2.0,2.0.H,
ciportal,TOR,TOR2.0,2.0.J,
ciportal,TOR,TOR2.0,2.0.K,
ciportal,TOR,TOR2.0,2.0.K.1,
ciportal,TOR,TOR2.0,2.0.K.2,
ciportal,TOR,TOR2.0,,
ciportal,TOR,TOR3.0,,
ciportal,TOR,,3.0.A,
ciportal,TOR,,3.0.B,
ciportal,TOR,,3.0.C,
ciportal,TOR,,3.0.D,
ciportal,TOR,,3.0.E,
ciportal,TOR,,3.0.F,
ciportal,TOR,,3.0.G,
ciportal,TOR,,3.0.H,
ciportal,TOR,,3.0.I,
ciportal,TOR,,3.0.J,
ciportal,TOR,,,
ciportal,LITP,,,
ciportal,TOR,,2.0.2,
ciportal,TOR,,2.0.3,
ciportal,TOR,,2.0.4,
ciportal,TOR,,2.0.5,
ciportal,TOR,,2.0.6,
ciportal,TOR,,2.0.7,
ciportal,TOR,,2.1.1,
ciportal,OSS-RC,,14.1.7,
ciportal,OSS-RC,,14.1.8,
ciportal,OSS-RC,,14.2.5,
ciportal,OSS-RC,,14.2.6,
ciportal,OSS-RC,,14.2.7,
ciportal,OSS-RC,,14.2.8,
ciportal,OSS-RC,,14.3.4,
ciportal,OSS-RC,,14.3.5,
ciportal,OSS-RC,,14.3.6,
ciportal,OSS-RC,,,
